OBJECTID;Perimetro;Area;CantidadConstrucciones;Area_int;X_MAGNAMED;Y_MAGNAMED;CS_TF;EQ_TF;H_TF;PP_TF;PC_TF;PP_TF;TR_TF;UR_TF;ValorM2;ZP_TF;R_TF;C_AvaluoLote;C_AvaluoConstruccion;C_AvaluoTotal
91946;295.4721401;1599.948055;0;1600;842251.1945;1186168.125;0;1;0;1;0;1;0;1;4985;1;1;0;0;0
91957;205.9253733;2316.148067;0;2316;842280.4354;1186200.873;0;1;0;1;0;1;0;1;4985;1;1;0;0;0
91945;487.1159221;9601.918111;0;9600;842297.1475;1186129.748;0;1;0;1;0;1;0;1;4985;1;1;29783000;0;29783000
238500;775.5652382;30821.3273;0;30817;842377.844;1185986.364;0;1;1;1;0;1;0;0;4985;0;1;88385000;110127000;198512000
300651;370.1766728;6238.883842;0;6238;842691.9175;1186212.642;0;1;0;1;0;1;0;0;4985;0;1;20496000;54102000;74598000
238502;335.4703744;6550.891055;0;6550;842501.9763;1186027.468;0;1;0;1;0;1;0;0;4985;0;1;21888000;44886000;66774000
238498;350.6501538;5882.006865;0;5881;842445.7781;1186071.412;0;1;0;1;0;1;0;0;4985;0;1;220253000;168482000;388735000
238497;346.9764416;7037.72108;0;7037;842560.9879;1186069.162;0;1;1;1;0;1;0;0;4985;0;1;22704000;32507000;55211000
300654;159.1598585;628.179176;0;628;842791.2705;1186206.979;0;1;0;1;0;1;0;0;4985;0;1;5296000;114213000;119509000
300641;348.6720644;6626.469324;0;6626;842626.8343;1186151.321;0;1;0;1;0;1;0;0;4985;0;1;20394000;0;20394000
161149;271.4276153;4183.303305;0;4183;842615.1305;1186244.633;0;1;0;1;0;1;0;1;4985;0;1;14821000;13811000;28632000
258059;318.2390078;3976.706705;0;3976;842581.2116;1186209.128;0;1;0;1;0;1;0;0;4985;0;1;13473000;0;13473000
238496;272.1397122;3886.194915;0;3886;842534.7877;1186136.045;0;1;1;1;0;1;0;0;4985;0;1;13999000;21419000;35418000
238495;261.216535;4202.242959;0;4202;842454.5678;1186125.767;0;1;0;1;0;1;0;1;4985;0;1;14872000;31811000;46683000
291973;231.8318111;2952.941636;0;2953;842395.0533;1186112.172;0;1;0;1;0;1;0;1;4985;1;1;10827000;0;10827000
161309;262.0233778;4525.989547;0;4525;842519.967;1186190.886;0;1;0;1;0;1;0;1;4985;0;1;15307000;18667000;33974000
161303;130.9863577;1066.994747;0;1067;842416.3871;1186171.18;0;1;0;1;0;1;0;1;4985;1;1;6216000;24204000;30420000
163541;131.1617572;1062.597665;0;1062;842390.9285;1186156.516;0;1;0;1;0;1;0;1;4985;1;1;6202000;57775000;63977000
139046;129.0136111;1029.054161;0;1029;842364.7729;1186141.857;0;1;0;1;0;1;0;1;4985;1;1;6111000;15803000;21914000
161219;99.91309622;598.4728403;0;598;842404.6052;1186196.895;0;1;0;1;0;1;0;1;4985;1;1;4656000;0;4656000
163309;98.64328429;585.9273755;0;586;842379.2381;1186182.078;0;1;0;1;0;1;0;1;4985;1;1;4621000;0;4621000
139045;101.8263028;620.083367;0;620;842353.6713;1186166.916;0;1;0;1;0;1;0;1;4985;1;1;4710000;0;4710000
300647;1095.905475;26633.12615;0;26629;842397.4246;1186242.107;0;1;1;1;0;1;0;1;4985;0;1;71254000;0;71254000
161146;657.5134323;21122.04291;0;21119;842464.5245;1186326.532;0;1;1;1;0;1;0;1;4985;0;1;59799000;37614000;97413000
227560;422.8000563;8470.888221;0;8470;842334.8975;1186362.156;0;1;0;1;0;1;0;1;4985;0;1;26659000;25666000;52325000
227559;573.5560537;15557.27966;0;15555;842242.3487;1186393.996;0;1;1;1;0;1;0;1;4985;0;1;46226000;19242000;65468000
227558;326.9398158;5876.378672;0;5876;842192.3302;1186476.631;0;1;1;1;0;1;0;1;4985;0;1;19496000;58951000;78447000
227557;431.9452048;8328.205869;0;8327;842127.5927;1186475.437;0;1;0;1;0;1;0;1;4985;0;1;26266000;32846000;59112000
161145;681.8796063;13821.86023;0;13820;842119.9265;1186380.33;0;1;1;1;0;1;0;1;4985;0;1;39181000;0;39181000
161305;384.2804915;6512.95777;0;6512;842050.0491;1186490.278;1;1;0;1;0;1;1;1;4985;0;1;21251000;17560000;38811000
163463;545.5363694;15279.36461;0;15277;841978.0321;1186510.024;1;1;1;1;0;1;1;1;4985;0;1;45460000;12945000;58405000
300646;318.4951466;6013.605659;0;6013;842034.0543;1186380.494;1;1;0;1;0;1;1;1;4985;0;1;19874000;29002000;48876000
300650;283.3864577;3970.049886;0;3969;842059.292;1186294.868;0;1;1;1;0;1;0;1;4985;0;1;13457000;0;13457000
